Country,Series,Year,NY.GDP.PCAP.CD
Pre-demographic dividend,GDP per capita (current US$),2017,1405.86703600186
Pre-demographic dividend,GDP per capita (current US$),2018,1461.14528622573
Pre-demographic dividend,GDP per capita (current US$),2019,1488.19849892854
Pre-demographic dividend,GDP per capita (current US$),2020,1330.01289820543
Small states,GDP per capita (current US$),2016,11350.7256733568
Small states,GDP per capita (current US$),2017,12032.933965063
Small states,GDP per capita (current US$),2018,13001.1586933361
Small states,GDP per capita (current US$),2019,12594.6768910683
Small states,GDP per capita (current US$),2020,10770.58977779
South Asia,GDP per capita (current US$),2016,1652.25180081923
South Asia,GDP per capita (current US$),2017,1867.44396793317
South Asia,GDP per capita (current US$),2018,1894.00888357406
South Asia,GDP per capita (current US$),2019,1959.52584479156
South Asia,GDP per capita (current US$),2020,1823.71291162955
South Asia (IDA & IBRD),GDP per capita (current US$),2016,1652.25180081923
South Asia (IDA & IBRD),GDP per capita (current US$),2017,1867.44396793317
South Asia (IDA & IBRD),GDP per capita (current US$),2018,1894.00888357406
South Asia (IDA & IBRD),GDP per capita (current US$),2019,1959.52584479156
South Asia (IDA & IBRD),GDP per capita (current US$),2020,1823.71291162955
Sub-Saharan Africa,GDP per capita (current US$),2016,1528.13720385117
Sub-Saharan Africa,GDP per capita (current US$),2017,1588.32240939346
Sub-Saharan Africa,GDP per capita (current US$),2018,1626.06247939811
Sub-Saharan Africa,GDP per capita (current US$),2019,1628.74127673579
Sub-Saharan Africa,GDP per capita (current US$),2020,1499.4128133202
Sub-Saharan Africa (excluding high income),GDP per capita (current US$),2016,1526.88336217851
Sub-Saharan Africa (excluding high income),GDP per capita (current US$),2017,1587.01200492886
Sub-Saharan Africa (excluding high income),GDP per capita (current US$),2018,1624.7729965878
Sub-Saharan Africa (excluding high income),GDP per capita (current US$),2019,1627.45490368356
Sub-Saharan Africa (excluding high income),GDP per capita (current US$),2020,1498.60973877114
Sub-Saharan Africa (IDA & IBRD countries),GDP per capita (current US$),2016,1528.13720385117
Sub-Saharan Africa (IDA & IBRD countries),GDP per capita (current US$),2017,1588.32240939346
Sub-Saharan Africa (IDA & IBRD countries),GDP per capita (current US$),2018,1626.06247939811
Sub-Saharan Africa (IDA & IBRD countries),GDP per capita (current US$),2019,1628.74127673579
Sub-Saharan Africa (IDA & IBRD countries),GDP per capita (current US$),2020,1499.4128133202
Upper middle income,GDP per capita (current US$),2016,8053.16788417431
Upper middle income,GDP per capita (current US$),2017,8846.47638579569
Upper middle income,GDP per capita (current US$),2018,9468.93298334383
Upper middle income,GDP per capita (current US$),2019,9572.87278662792
Upper middle income,GDP per capita (current US$),2020,9177.84043725712
World,GDP per capita (current US$),2016,10263.4405239168
World,GDP per capita (current US$),2017,10796.6345206213
World,GDP per capita (current US$),2018,11345.1803486201
World,GDP per capita (current US$),2019,11395.4109947207
World,GDP per capita (current US$),2020,10910.0836193812
Afghanistan,GDP per capita (current US$),2016,512.012778129357
Afghanistan,GDP per capita (current US$),2017,516.679862210543
Afghanistan,GDP per capita (current US$),2018,485.668418729808
Afghanistan,GDP per capita (current US$),2019,494.179349886029
Afghanistan,GDP per capita (current US$),2020,516.747870807558
Albania,GDP per capita (current US$),2016,4124.05538986272
Albania,GDP per capita (current US$),2017,4531.0193737689
Albania,GDP per capita (current US$),2018,5287.66369446913
Albania,GDP per capita (current US$),2019,5395.65953185375
Albania,GDP per capita (current US$),2020,5246.29230634793
Algeria,GDP per capita (current US$),2016,3946.45244712537
Algeria,GDP per capita (current US$),2017,4109.69821695727
Algeria,GDP per capita (current US$),2018,4142.01855842917
Algeria,GDP per capita (current US$),2019,3989.66827645236
Algeria,GDP per capita (current US$),2020,3306.85820838104
American Samoa,GDP per capita (current US$),2016,12038.2496994923
American Samoa,GDP per capita (current US$),2017,11003.8297642807
American Samoa,GDP per capita (current US$),2018,11521.6097798453
American Samoa,GDP per capita (current US$),2019,11715.3601388487
American Samoa,GDP per capita (current US$),2020,12844.9009909959
Andorra,GDP per capita (current US$),2016,37475.6350587526
Andorra,GDP per capita (current US$),2017,38964.904478265
Andorra,GDP per capita (current US$),2018,41791.9698372411
Andorra,GDP per capita (current US$),2019,40897.3308728669
Andorra,GDP per capita (current US$),2020,
Angola,GDP per capita (current US$),2016,3506.07312818832
Angola,GDP per capita (current US$),2017,4095.8100568707
Angola,GDP per capita (current US$),2018,3289.64399476678
Angola,GDP per capita (current US$),2019,2809.62608839129
Angola,GDP per capita (current US$),2020,1776.16686789531
Antigua and Barbuda,GDP per capita (current US$),2016,15198.7429664112
Antigua and Barbuda,GDP per capita (current US$),2017,15383.5763979856
Antigua and Barbuda,GDP per capita (current US$),2018,16679.5916624545
Antigua and Barbuda,GDP per capita (current US$),2019,17376.6496765004
Antigua and Barbuda,GDP per capita (current US$),2020,13992.7444804497
Argentina,GDP per capita (current US$),2016,12790.2424732447
Argentina,GDP per capita (current US$),2017,14613.041824658
Argentina,GDP per capita (current US$),2018,11795.1593866287
Argentina,GDP per capita (current US$),2019,10056.637940265
Argentina,GDP per capita (current US$),2020,8579.01777315683
Armenia,GDP per capita (current US$),2016,3591.82805221639
Armenia,GDP per capita (current US$),2017,3914.52785436696
Armenia,GDP per capita (current US$),2018,4220.54032079145
Armenia,GDP per capita (current US$),2019,4604.64632355695
Armenia,GDP per capita (current US$),2020,4266.01807420946
Aruba,GDP per capita (current US$),2016,28452.1706146796
Aruba,GDP per capita (current US$),2017,29350.8050189137
Aruba,GDP per capita (current US$),2018,30253.2793580195
Aruba,GDP per capita (current US$),2019,
Aruba,GDP per capita (current US$),2020,
Australia,GDP per capita (current US$),2016,49881.7637140466
Australia,GDP per capita (current US$),2017,53934.2501750463
Australia,GDP per capita (current US$),2018,57180.7794001614
Australia,GDP per capita (current US$),2019,54875.2859563351
Australia,GDP per capita (current US$),2020,51692.8427477695
Austria,GDP per capita (current US$),2016,45276.8314351693
Austria,GDP per capita (current US$),2017,47312.0062332199
Austria,GDP per capita (current US$),2018,51461.4332150082
Austria,GDP per capita (current US$),2019,50114.4011099728
Austria,GDP per capita (current US$),2020,48586.8013213238
Azerbaijan,GDP per capita (current US$),2016,3880.73873089556
Azerbaijan,GDP per capita (current US$),2017,4147.08971569171
Azerbaijan,GDP per capita (current US$),2018,4739.84171028393
Azerbaijan,GDP per capita (current US$),2019,4805.75371765917
Azerbaijan,GDP per capita (current US$),2020,4221.40747847848
"Bahamas, The",GDP per capita (current US$),2016,31732.9191396131
"Bahamas, The",GDP per capita (current US$),2017,32376.5091722572
"Bahamas, The",GDP per capita (current US$),2018,33290.028135413
"Bahamas, The",GDP per capita (current US$),2019,33799.4176940891
"Bahamas, The",GDP per capita (current US$),2020,25194.0251444381
Bahrain,GDP per capita (current US$),2016,22608.4525623673
Bahrain,GDP per capita (current US$),2017,23742.9373424159
Bahrain,GDP per capita (current US$),2018,24085.955988096
Bahrain,GDP per capita (current US$),2019,23551.9300857404
Bahrain,GDP per capita (current US$),2020,20409.9528047731
Bangladesh,GDP per capita (current US$),2016,1401.56463513179
Bangladesh,GDP per capita (current US$),2017,1563.76781861826
Bangladesh,GDP per capita (current US$),2018,1698.13208078712
Bangladesh,GDP per capita (current US$),2019,1855.74009422319
Bangladesh,GDP per capita (current US$),2020,1961.6137487886
Barbados,GDP per capita (current US$),2016,16900.0482858522
