DATE,beef,pork
1996-11-01,89.2142,58.7702
1996-12-01,90.7026,59.0798
1997-01-01,93.3053,60.0934
1997-02-01,93.235,61.6664
1997-03-01,93.0407,63.3489
1997-04-01,93.1974,61.962
1997-05-01,94.4842,61.8861
1997-06-01,93.4238,63.3188
1997-07-01,96.9205,64.5758
1997-08-01,97.0809,64.3943
1997-09-01,93.0013,66.5817
1997-10-01,97.5894,66.643
1997-11-01,97.0648,66.7829
1997-12-01,95.3085,68.7337
1998-01-01,96.5803,71.5697
1998-02-01,100.1612,71.1791
1998-03-01,97.7713,70.6461
1998-04-01,97.9377,70.9183
1998-05-01,97.9322,70.7955
1998-06-01,96.5249,68.1821
1998-07-01,96.3591,73.7971
1998-08-01,97.9645,72.1123
1998-09-01,96.4438,71.4762
1998-10-01,96.1466,72.1537
1998-11-01,97.3718,74.142
1998-12-01,97.877,74.7718
1999-01-01,100.0343,73.2264
1999-02-01,100.084,72.1053
1999-03-01,98.9743,72.864
1999-04-01,99.6298,72.5579
1999-05-01,97.6772,69.5578
1999-06-01,97.9792,73.7104
1999-07-01,98.4912,72.091
1999-08-01,97.7817,72.2015
1999-09-01,98.9234,71.9768
1999-10-01,100.218,71.9884
1999-11-01,99.0918,71.5618
1999-12-01,98.2293,70.7751
2000-01-01,101.1506,70.9164
2000-02-01,105.9445,72.2995
2000-03-01,103.6413,72.6315
2000-04-01,102.4373,67.587
2000-05-01,100.559,72.6002
2000-06-01,102.1057,73.4437
2000-07-01,102.6592,73.1542
2000-08-01,102.1888,75.0793
2000-09-01,104.7773,73.2511
2000-10-01,105.3428,73.8592
2000-11-01,104.0288,74.5235
2000-12-01,102.5421,72.4422
2001-01-01,100.8416,74.7472
2001-02-01,100.3605,75.1249
2001-03-01,100.0996,73.6647
2001-04-01,99.5705,74.9029
2001-05-01,102.8299,75.255
2001-06-01,101.2002,72.6831
2001-07-01,100.2377,74.0423
2001-08-01,101.9523,73.4212
2001-09-01,101.6735,74.1213
2001-10-01,101.7155,74.8864
2001-11-01,103.0659,73.5791
2001-12-01,104.3347,73.8788
2002-01-01,102.8103,72.5988
2002-02-01,101.3318,71.1484
2002-03-01,98.5021,72.125
2002-04-01,99.7585,71.6651
2002-05-01,97.2482,74.2929
2002-06-01,99.1348,71.7031
2002-07-01,99.4788,72.0126
2002-08-01,98.9173,71.8628
2002-09-01,97.4279,73.8801
2002-10-01,102.3192,71.044
2002-11-01,99.6741,71.4031
2002-12-01,98.8693,72.1282
2003-01-01,100.1444,72.7784
2003-02-01,98.8487,72.7061
2003-03-01,96.3332,72.69
2003-04-01,101.4835,74.126
2003-05-01,102.435,73.3113
2003-06-01,103.373,75.0973
2003-07-01,103.4693,76.1541
2003-08-01,101.1889,74.5226
2003-09-01,102.7899,75.3029
2003-10-01,94.6925,77.9034
2003-11-01,89.7573,78.6509
2003-12-01,92.5398,78.6729
2004-01-01,89.8184,77.3869
2004-02-01,95.0461,77.7501
2004-03-01,95.8703,78.1784
2004-04-01,94.7433,79.5733
2004-05-01,95.7288,75.8976
2004-06-01,93.7361,80.5023
2004-07-01,92.4963,79.1975
2004-08-01,93.0167,81.1827
2004-09-01,95.3217,81.4972
2004-10-01,98.2562,78.5398
2004-11-01,93.2065,78.762
2004-12-01,97.1647,79.6558
2005-01-01,95.4218,79.5135
2005-02-01,94.6949,82.2636
2005-03-01,96.4024,81.462
2005-04-01,93.1147,80.2939
2005-05-01,96.0916,81.7633
2005-06-01,95.8533,84.1801
2005-07-01,97.6089,80.4868
2005-08-01,98.5016,81.9748
2005-09-01,99.6679,81.4274
2005-10-01,98.1115,81.3279
2005-11-01,100.6747,81.8019
2005-12-01,100.7897,82.6635
2006-01-01,101.0408,83.2893
2006-02-01,97.7184,82.7382
2006-03-01,101.9432,82.6309
2006-04-01,102.8205,81.5309
2006-05-01,102.4924,84.1195
2006-06-01,105.4341,82.1416
2006-07-01,103.6565,82.6754
2006-08-01,104.2418,83.1216
2006-09-01,102.1822,83.3984
